,age_zscore,priors_count_zscore,juv_fel_count_zscore,juv_misd_count_zscore,c_charge_degree_F,c_charge_degree_M,offense_type_drug,offense_type_fraud,offense_type_no_charge,offense_type_obstruction_of_justice,offense_type_property,offense_type_public_order,offense_type_violent,offense_type_weapons
2887,-0.06163343199524132,-0.5460497908005965,-0.0048614765409186415,0.0008510924816453096,0.01101924237307338,0.008990720144422442,0.05102362405325231,-0.02834681763765718,-0.006485809352033964,-0.02248772478814136,0.10690193113237195,0.019965843459808737,0.009023459859991931,-0.001912143565413697
5269,0.8421283395313118,-0.8641747478749731,-0.005142092355822245,-0.009119555886691924,-0.023247389517439092,-0.01822827874895511,0.0393362310036885,-0.013943128758371826,-0.00878413187606296,-0.01806248042223983,0.10138348239632351,0.02600705700203336,0.0009004737346574902,-0.004654161716066954
2372,0.2834569051501995,-0.925223657771006,-0.005324307550128397,-0.006538574655521908,-0.023247389517439092,-0.034131301673485576,0.035510990169807286,-0.019719626989326607,-0.008984915398417625,-0.020164838028544248,-0.019504011349153652,0.025371567522075887,-0.023407415782402508,-0.0061862085780473655
6189,0.2845802606682258,0.635770023045972,-0.004938506193673999,0.0033468546736944767,0.01535387472029099,0.037957074700243607,0.06452358073571333,0.10678414754280996,-0.005166265226174375,-0.02225660564282942,-0.026543531469170115,0.02435994135420972,0.00923556382749942,-0.001912143565413697
880,-0.10470730543740615,-0.47589381454792345,-0.0059694988105642565,0.0007125324351877457,0.022704765580396052,0.03304648656734565,-0.24898695309360727,-0.03534636535381774,-0.006708512223644603,-0.02339320560009353,-0.02025768445878082,0.013167903426762736,0.007718297833262516,-0.001912143565413697
3230,0.23575021674847427,0.6858441443006803,-0.004858875695663525,0.0025645425264932136,0.01535387472029099,0.013542727218832963,0.06624763736435425,-0.017765691855381946,-0.004733495147274607,-0.021351124830877248,0.18190212040161938,0.02435994135420972,0.00923556382749942,-0.001912143565413697
1434,0.3949824513545703,1.2845672638977288,-0.004739002031077547,0.01421197989644173,-0.07612113559113737,-0.12471290001813937,-0.4266882609639742,-0.017283338105202634,-0.0065114665228694435,-0.017317851742052068,-0.04357176395319247,0.014959738559504391,0.01844412126778035,-0.002941047307588847
631,-0.4697881980244909,-0.6548729246148849,0.0064819689902096255,0.0007264900054008079,0.01562775496697706,0.023891758893942083,-0.17216644847551812,-0.04597889465625437,-0.012108601267958166,-0.01628056830566504,-0.02922372183531139,0.014196890742731103,0.006634631238635092,-0.004569575187080804
5046,0.734018655611564,-0.9140216046010015,-0.005173072971600779,-0.010141386628579723,0.011020839764321262,0.009276365733847025,0.0317483448860933,-0.014285409951992092,-0.006421841647461453,-0.018284778269704444,0.11225520839494077,0.015043693833065063,0.008972051771839788,-0.0061862085780473655
6285,-0.6197223011581905,0.07773210903010234,0.007509960178725764,0.002589846360419486,0.004570111273695563,0.010104963947934111,0.06983046207301294,0.22514927995237635,0.003622092023120893,-0.012105651706584463,-0.021425464467078503,0.02617976648172962,-0.00041899147169937256,-0.0015292904644700588
